100,35:89:25,4:6:11,8.2
101,41:8,1:13,6.4
102,1:94:,6:11,8.3
103,49:155:156,3:5:6,8.6
104,132:157:,6:1,8.2
105,49:124,6:11,8.2
106,1:41:49,5:6,7.8
107,161:159:,6:11,7.4
108,89:9:25,6:11:9,7.4
109,132:53:162,6:11:4,7.3
110,135:81:164,6:1,7.5
111,7:14:68,6:1:5,7.4
112,137:166:167,6:11:,7.5
113,35:169:170,6:1:5,7.8
114,27:171:172,6:13:5,6.8
115,41:62:154,11:13:4,6.5
116,33:173:174,6:13,6.2
117,175:176:177,3:6:7,7.4
118,178:80:180,6:12,7.5
119,181:182:183,6:1:5,6.5
120,1:94:41,2:4:5,6.2
121,2:135:94,14:11,6.7
122,9:95:35168,5:6:11,6.2
123,85:185:186,6:8,4.2
124,5:37:17,4:6,6.7
125,107:158:187,11:6,8.1
126,37:14,4:6:13,7.3
127,37:35168,1:4:6,6.9
128,18:188,11:6,7.2
129,17:161:137165,4:6,7.0
130,4:5:95,9:11,6.4
131,58:189,3:6:11,6.7
132,135:19,4:5:6,8.4
133,190:93:191,4:11:6,6.8
134,23:192:193,6:11:13,3.5
135,2:94:1,6:11,6.0
136,7:63:9,1:5:6,8.2
137,80:81:137165,11:6,6.1
138,7:35:36,1:4:6,7.3
139,68:49,6,6.5
140,194:8:62,1:2:11,6.3
141,5:40:17,4:5,6.3
142,6:63:17,4:6:11,6.6
143,3:105,13:6:11,7.2
144,58:189:23,5:6:10,7.2
145,26:63:6,4:10:13,5.5
146,154:17,4:6:11,6.8
147,3:219,4:6:7,8.4
148,25:37:116,1:2:6,4.9
149,23:195:197,6:11,2.8
150,2:198:199,6:12,8.4
151,26:200,3:6:7,7.4
152,201:3,6:,2.8
153,47:202:203,5:6:13,8.0
154,18:187:205,5:6:10,7.8
155,47:10:161,5:6:11,7.4
156,6:63,4:11,8.0
157,41:122,3:6:9,7.8
158,92:18,4:6:11,6.1
159,206:158:208,4:6:5,7
160,18:159,4:2:5,7.4
161,5:59:160,4:6:11,7.3
162,169:162:163,4:6:,7.7
163,181:164:165,1:6,6.6
164,166:167:168,11:6,7.1
165,37:107:17,14:10:6,7.1
166,189:170,14:10:6,6.5
167,38:171:163,1:6,7.9
168,155:222,4:13,6.8
169,223:224,6:11,6.7
170,87:225:226,6:9,6.4
171,23:131,6:6,6.3
172,228:229:,6:11,6.8
173,10:230,6,6.4
174,47:16:24,12:6,5.9
175,23,1:5:6,7.2
176,7:194,13:6,5.8
177,231:232,4:6,7.7
178,5:89:120,4:8:10,7.2
179,1:78:17,4:11,6.8
180,133:91,4:11:6,7.5
181,25:133:165,4:13:6,4.6
182,25:133,1:2:6,4.7
183,1:80:2,4:14:6,6.3
184,2:123,4:9:6,7.1
185,4:33:59,4:11:6,4.1
186,3:101: 233,1:10:6,7.3
187,7:89:167210,1:5:6,6.3
188,7:107:35,1:5:11,5.3
189,7:105,6:4:11,6.2
190,7:63:35,6:4:5,4.9
191,5:9:63,1:4:5,3.9
192,5:59:210,1:4:5,5.7
193,9:26:68:33:59,1:6:5,6.6
194,1:41:122,1:6:5,6.8
195,41:37:62,1:6:11,6.5
196,23:227:234,5:6:11,6.8
197,158:125,4:6,6.9
198,62:58:235,11:6,6.9
199,115:140,11:6,5.4
200,18:17,4:5:6,7.8
201,17:26:91,4:11:6,5.2
202,17:40,4:1:6,5.2
203,131:135:53,4:6,5.4
204,135:132:137,5:10:6,8.4
205,3:22:36:63,4:6,8.4
206,18:109:102,4:6:11,8.1
207,1:41:89,4:6,7.2
208,6:62,4:1:5,7.5
209,9:61:209,4:6:11,6.8
210,236:237,7:6,7.4
211,49:238:239,5:13:6,8.1
212,45:161:209,11:6,7.1
213,11:240:241,4:6,7.5
214,11:161,4:6:11,7.6
215,179:19:219,4:6:5,7.3
216,132:153,4:6:5,6.9
217,37:242:243,6,6.8
218,41:88,4:6,6.0
219,10:2:116,4:6,6.1
220,22:213:244,8:10:6,7.0
221,49:200:135,4:5:6,6.3
222,63:9:210,1:5:6,5.7
223,25:7:245,1:4:6,6.1
224,37:148:59,5:11:6,6.8
225,209:246:247,4:6,5.8
226,161:248:249,4:6,6.9
227,132:89:35,4:6:11,7.4
228,128:250:251,4:6:5,7.2
229,2:105,2:6:13,8.0
230,132:32:14:59:7:11,1:6:5,7.1
231,7:23:58:110,11:6:5,7.4
232,252:226:253,4:6,7.5
233,232:208:50,4:5,7.5
234,4:72:254,4:5:,6.3
235,54:123,6:11,7.4
236,41:61,6:1:7,6.0
237,8:122,6:1:7,7.5
238,209:255:256,6:4,7.7
239,28:257:258,1:3:5,7.6
240,45:61:147,6:11:13,7.0
241,17:210:155221,6:13,7.5
242,19:173,6:4:14,6.6
243,7:26:68,6:5:1,7.0
244,88:18:221,6:4:11,4.9
245,134:259:260,6:4,7.3
246,18:261:262,2:5:4,6.9
247,37:157,6:4,7.2
248,148:263:264,6:5:13,6.1
249,19:165,6:4,7.3
250,1:154:17,6:10,7.0
251,5:32:61,6:10,5.3
252,63:105:32,6:,5.5
253,148:61,6:5:11,5.3
500,2:62:19,1:5:13,7.1
501,59:8:45:18:102,2:4:6,8.1
502,2:32:63,2:1:16,4.8
503,11:73,9:6,7.6
504,126:127:128:129:130,4:6:11,7.8
505,7:82:29,1:6:5,6.7
506,5:37:124,6:4,5.8
507,102:23,1:5:6,7.4
508,132:23:131:89,3:4:6,6.7
509,94:89,3:5:6,7.2
510,104,17:4:6,7.9
511,133:59:134,11:4:6,5.9
512,6:88:135,11:6,4.7
513,69:23,1:5:6,6.1
514,10:124,13:5:6,7.5
515,37:91:136,1:5:6,6.2
516,5:123,12:4:6,5.9
517,54:123:76,4:6,6.0
518,16:24:47,4:6:1,5.7
519,62,6:10:13,6.2
520,1:9:38:61,6:13,6.2
521,22:58:137,4:6:11,6.6
522,41:61:68,1:5:6,6.2
523,138,8:10:13,6.2
524,1:139:140,1:5:4,5.6
525,27:109:137,1:5:6,7.2
526,131,5:6,7.2
527,7:23,4:6:11,5.7
528,41:58:135:19,1:5:6,5.1
529,14,1:5:6,7.0
530,141,8:10:6,4.9
531,8:62:25,1:5:6,7.0
532,10:109,1:5:3,8.3
533,89,6:10:13,8.3
534,56:99,4:11,7.8
535,5,4:6:17,8.3
536,2:59:123,6:11,6.9
537,11:62:90,6:2:4,8.2
538,38:77:12,6:1:5,8.3
539,96,4:6:17,8.3
540,10,2:6:14,8.0
541,23:27:97,5:6:,6.1
542,32:18:38,18:6:13,6.9
543,138,11:6:8,4.8
544,61:9,11:6:4,6.2
545,23:68:97,11:8:13,3.9
546,55:76,1:6:11,6.6
547,4:59,1:13:11,5.4
548,30:60:34,4:11,5.5
549,3:63:94,5:6:10,7.3
550,4:72,1:4:6,5.0
551,36:19,4:6:17,5.0
552,5:72,1:4:5,5.8
553,7:101:41,1:4,5.5
554,141,3:5:6,8.4
555,45:88,3:1:6,8.3
556,10:12,11:6,7.8
557,73:37,1:6:7,7.8
558,135:38:5,5:6:7,8.0
559,145:141,12:6,7.7
560,149:88,11:6,7.6
561,54:72,11:6,7.4
562,10:32,1:13,7.3
563,52:66,6:9,7.0
564,150,2:13,7.1
565,35:125:19,1:4:6,7.2
566,109:10:137,1:5:6,6.9
567,142:143,4:6:11,6.9
568,14,1:6:7,6.
569,55,1:6:13,6.6
570,144:121,9:6,6.4
571,9,1:2:4,6.5
572,146,13:4,6.1
573,94:27:12:1,6:17,6.8
574,11:61:52:102,4:6:9,6.9
575,147,4:6,6.5
576,61:54,1:6:9,6.3
577,62:8,1:11:16,5.4
578,61:2,1:11:4,5.9
579,3:59:41,1:5:13,5.5
580,148,1:5:6,6.2
581,126:128,11:6,6.1
582,63:1:7,5:6,6.0
583,136,1:6,5.9
585,5,1:6:4,5.5
586,6:72,1:11:4,5.1
587,86,17:11:4,5.7
588,56,6:4,5.9
589,32:124,6:11,6.0
590,37:58:33,1:5:8,5.8
591,133:123,4:6,5.8
592,134,4:6,5.4
593,23:102:84,8:11:13,5.7
594,9:72:136,1:5:6,5.1
595,145:76,11:5:6,5.8
596,5:133:72,1:5:6,4.9
597,6:90,1:4,4.9
598,23:89,4:5:13,5.7
599,9:33:37,1:5:13,5.3
600,58:141:75,2:4:6,8.4
601,50,4:6,8.1
602,3:123:25,4:6:11,8.3
603,6:78:66,1:5:6,8.3
604,43,10:5:6,8.2
605,153,7:18:6,7.5
606,94,1:6:13,7.4
607,60:27,2:6:11,7.6
608,5:72,1:6:10,7.5
609,132:87:35:84,4:6:11,7.3
610,55:60,4:6:11,7.1
611,76:30,4:11,6.9
612,27,3:6:7,7.2
613,1:19,4:6:14,6.9
614,141,13:6,7.2
615,62,3:6:12,6.8
616,88:,4:11,6.4
617,2:61:41:19:140,1:4:5,5.4
618,30:66:154,1:6:5,6.4
619,23,13:6,6.1
620,4:78:40,1:6,5.5
621,23:58:25,4:6:13,5.8
622,4:69:12,1:4:11,5.5
623,5:75,4:6,5.3
624,87:80,1:6,6.2
625,52:76,4:6:11,6.2
626,61:55:132,4:6:11,5.9
627,63:7,1:6,5.8
628,34:60,4:6:11,6.0
629,9:90,4:11,5.5
630,5:48,4:1,4.8
631,8:59,4:1:2,5.5
632,151:71,6:11,5.3
633,21:67,1:11,5.5
634,58,1:5:4,4.9
635,73:34:90,1:11:4,5.3
636,152:16,1:13,5.2
637,45:89,4:11,5.7
638,134:99,4:11:6,5.1
639,56:88,4:11:6,5.4
640,89:143,4:13:6,5.5
641,78:7,10:13:6,8.7
642,10,10:13:6,8.5
643,12,3:6:7,8.2
644,77,6:11,8.2
645,126:128,6:11:4,7.6
646,58:22:137,6:11:4,7.8
647,145,1:10:13,7.8
648,4:63:12,4:6,8.1
649,5,1:5:13,8.2
650,50:56,4:6:11,7.5
651,34:12,1:5:6,7.5
652,1:61:10,4:6,7.6
653,5:86,1:5:6,7.3
654,102,5:6,7.3
655,61:11,4:6:11,7.3
656,123,1:5:6,7.2
657,5:20:30,1:12:6,6.8
658,54:62:61,6:7:11,7.2
659,1:149,4:6:13,6.9
660,23:89:141,11:6,6.6
661,33:62:54:123:45,11:6:17,6.8
